# Data taken  from Mumpower et al PPNP 86 (2016),,,,,,,,,,,,,,,,,,
"# F-b, F-nc, F-m mean sensitivity factors for beta properties, neutron capture, and mass respectively",,,,,,,,,,,,,,,,,,
"# -lehw, -hehw, -cw, -nsm refer to low entropy hot wind, high entropy hot wind, cold wind, neutron star merger",,,,,,,,,,,,,,,,,,
# new (not in Mum16):,,,,,,,,,,,,,,,,,,
# -max means maximum of the four scenarios,,,,,,,,,,,,,,,,,,
# F-all-max means maximum F for all scenarios and all nuclear inputs,,,,,,,,,,,,,,,,,,
# Asterisks replaced with 0.01,,,,,,,,,,,,,,,,,,
# Dashes replaced with 0.001,,,,,,,,,,,,,,,,,,
# Z,N,A,F-b-lehw,F-b-hehw,F-b-cw,F-b-nsm,F-nc-lehw,F-nc-hehw,F-nc-cw,F-nc-nsm,F-m-lehw,F-m-hehw,F-m-cw,F-m-nsr,F-b-max,F-nc-max,F-m-max,F-all-max
50,94,144,3.9,0.01,0.39,0.12,0.03,0.01,0.99,0.09,9.11,0.01,3.37,0.6,3.9,0.99,9.11,9.11
50,95,145,0.01,0.01,0.03,0.01,2.22,0.01,0.11,0.01,2.4,0.01,2.25,0.52,0.03,2.22,2.4,2.4
50,96,146,8.06,0.01,1.39,0.29,0.01,0.01,2.74,0.13,2.33,0.01,0.81,0.4,8.06,2.74,2.33,8.06
50,97,147,0.03,0.01,0.12,0.02,0.13,0.01,0.3,0.01,0.26,0.01,0.71,0.36,0.12,0.3,0.71,0.71
50,98,148,4.67,0.01,1.63,0.6,0.01,0.01,1.15,0.28,2.71,0.01,1.87,0.6,4.67,1.15,2.71,4.67
50,99,149,0.01,0.01,0.04,0.01,0.01,0.01,0.1,0.01,0.02,0.01,1.9,0.84,0.04,0.1,1.9,1.9
50,100,150,0.52,0.01,1.84,0.95,0.01,0.01,0.45,0.38,1.37,0.01,1.78,2.37,1.84,0.45,2.37,2.37
50,101,151,0.01,0.01,0.16,0.06,0.01,0.01,0.11,0.02,0.01,0.01,2.15,1.46,0.16,0.11,2.15,2.15
50,102,152,0.01,0.01,10.04,1.69,0.01,0.01,0.01,0.29,0.03,0.01,1.04,1.38,10.04,0.29,1.38,10.04
51,78,129,0.01,0.01,0.01,0.01,0.17,0.03,0.05,0.14,0.001,0.001,0.001,0.001,0.01,0.17,0.001,0.17
51,79,130,0.01,0.01,0.01,0.01,0.35,0.5,0.15,0.23,0.001,0.001,0.001,0.001,0.01,0.5,0.001,0.5
51,80,131,0.01,0.01,0.01,0.01,1.4,0.42,0.44,0.15,0.001,0.001,0.001,0.001,0.01,1.4,0.001,1.4
51,81,132,0.01,0.01,0.01,0.01,2.44,1.25,1.93,0.5,0.001,0.001,0.001,0.001,0.01,2.44,0.001,2.44
51,82,133,0.01,0.53,0.07,0.04,0.48,19.49,2.75,0.18,0.001,0.001,0.001,0.001,0.53,19.49,0.001,19.49
51,83,134,0.01,1.01,0.04,0.01,0.66,14.18,3.39,0.42,0.001,0.001,0.001,0.001,1.01,14.18,0.001,14.18
51,84,135,0.28,2.01,1.23,0.48,0.23,11.77,2.16,0.16,0.001,0.001,0.001,0.001,2.01,11.77,0.001,11.77
51,85,136,0.21,1.08,0.58,0.15,0.26,7.3,1.04,0.1,0.001,0.001,0.001,0.001,1.08,7.3,0.001,7.3
51,86,137,1.76,2.64,1.39,0.13,2.79,8.8,1.38,0.07,0.001,0.001,0.001,0.001,2.64,8.8,0.001,8.8
51,87,138,3.44,7.25,0.16,0.02,5.7,0.02,0.37,0.03,0.76,19.19,0.89,0.33,7.25,5.7,19.19,19.19
51,88,139,3.49,6.76,1.71,0.08,0.18,0.02,2.68,0.15,0.87,17.3,0.85,0.32,6.76,2.68,17.3,17.3
51,89,140,0.01,0.02,0.2,0.02,2.65,3.4,1.79,0.08,1.28,14.11,1.04,0.34,0.2,3.4,14.11,14.11
51,90,141,3.23,10.39,0.2,0.04,0.04,0.01,4.11,0.24,1.17,12.16,0.77,0.3,10.39,4.11,12.16,12.16
51,91,142,0.01,0.03,0.07,0.01,2.33,0.81,0.64,0.03,1.23,11.66,0.91,0.39,0.07,2.33,11.66,11.66
51,92,143,0.68,1.62,0.3,0.05,0.1,0.01,1.86,0.12,1.92,3.92,1.36,0.28,1.62,1.86,3.92,3.92
